"x","y","treecover","SR_B1","SR_B2","SR_B3","SR_B4","SR_B5","SR_B7","NDVI","kNDVI","SAVI","NDWI","EVI","Greenness","Brightness"
-99.032103580691,18.9429025270865,13,0.0331999994814396,0.0532200001180172,0.0516799986362457,0.211867496371269,0.164677500724792,0.0875950008630753,0.607812643051147,1,0.31469064950943,-0.59847217798233,0.314599573612213,0.105796381831169,0.264642357826233
-99.4352674802038,19.2215599282204,0,0.0398824997246265,0.0682350024580956,0.06300999969244,0.209254994988441,0.191847503185272,0.100134998559952,0.537142097949982,1,0.284057289361954,-0.508198499679565,0.283817380666733,0.0934136882424355,0.290131419897079
-99.3767871552076,19.2945929608193,12,0.0364174991846085,0.0584449991583824,0.0503875017166138,0.21544249355793,0.164017498493195,0.0965050011873245,0.620904326438904,1,0.323286473751068,-0.573218941688538,0.331532597541809,0.10407330095768,0.270556390285492
-99.2385364329816,18.9429025270865,0,0.0961474999785423,0.119769997894764,0.139446258544922,0.197650000452995,0.232148751616478,0.204566240310669,0.172662079334259,0.994865953922272,0.104295790195465,-0.245353162288666,0.110803373157978,0.00469239708036184,0.387880563735962
-99.4261046643058,19.0108151625659,0,0.0357575006783009,0.0555300004780293,0.0577300004661083,0.23411500453949,0.154282495379448,0.0848449990153313,0.604379057884216,1,0.334127902984619,-0.616565108299255,0.33601912856102,0.117856293916702,0.27496811747551
-99.0873499706643,19.2900115528703,0,0.0576200000941753,0.0823837518692017,0.0918437540531158,0.26384249329567,0.257916241884232,0.156358748674393,0.483568698167801,1,0.301510185003281,-0.524104535579681,0.310971111059189,0.107081733644009,0.385790586471558
-99.0568970825327,19.2215599282204,0,0.0518862493336201,0.0759487524628639,0.0951849967241287,0.199080005288124,0.211853742599487,0.14988249540329,0.353066146373749,1,0.196209713816643,-0.447703182697296,0.188073441386223,0.0612029395997524,0.321503192186356
-99.2679113427723,19.2838131774099,0,0.0252525005489588,0.0456575006246567,0.0373249985277653,0.216597497463226,0.147297501564026,0.0718649998307228,0.706012666225433,1,0.356679558753967,-0.651808321475983,0.358214378356934,0.120843835175037,0.245279744267464
-99.1086400428979,19.2662960293695,5,0.0587200000882149,0.0671899989247322,0.0699400007724762,0.141687497496605,0.109430000185966,0.0669699981808662,0.339027285575867,1,0.151232555508614,-0.356656402349472,0.160018146038055,0.0315619073808193,0.215079143643379
-99.0180898622587,19.2673740077105,0,0.0506074987351894,0.0742025002837181,0.0822599977254868,0.243465006351471,0.241622492671013,0.146747499704361,0.494911372661591,1,0.292842656373978,-0.532829165458679,0.296885311603546,0.101217247545719,0.355817079544067
