treecover,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,NDVI,SAVI,EVI,Brightness,Greenness
0,0.050140001,0.075852498,0.085752502,0.291438758,0.219209999,0.146513745,0.545310259,0.351724178,0.359615564,0.372476608,0.132981762
0,0.113307498,0.140395001,0.16223,0.214837506,0.213132501,0.184945002,0.139517471,0.089971706,0.098264836,0.404979259,-0.001763407
12,0.03881,0.052367501,0.052395001,0.170727506,0.118395001,0.0621025,0.530347705,0.245461538,0.247760206,0.21603553,0.073653966
0,0.077365004,0.108604997,0.133025005,0.212500006,0.2217675,0.215222493,0.230012298,0.140992284,0.138902232,0.378906727,0.027415721
0,0.063697502,0.104699999,0.135554999,0.209997505,0.279325008,0.193387493,0.215430379,0.132060111,0.120410658,0.395887166,0.042028271
0,0.112922497,0.141550004,0.168390006,0.208897501,0.214314997,0.178564996,0.107365057,0.069260351,0.073793888,0.403084904,-0.006644349
0,0.047912501,0.082314998,0.075962499,0.262935013,0.224655002,0.128350005,0.551708162,0.33431828,0.343859702,0.353715777,0.118488789
13,0.043003749,0.071466252,0.07743375,0.252361238,0.189606249,0.107216254,0.530412793,0.316212118,0.313616991,0.321149856,0.116581239
0,0.088392504,0.102279998,0.120815001,0.179582506,0.163522497,0.148644999,0.195632458,0.110134348,0.118336983,0.318274409,0.009687942
0,0.0596825,0.093370005,0.110172495,0.244207501,0.213008761,0.166451246,0.378223956,0.235319778,0.229886159,0.363495857,0.078254879
0,0.0498375,0.086632498,0.079922497,0.277867496,0.255344987,0.160442501,0.553243518,0.346142411,0.357657492,0.386952609,0.122880153
0,0.103352502,0.125599995,0.150240004,0.188107505,0.199080005,0.1821675,0.111918963,0.067753829,0.072024107,0.369896352,-0.009375536
13,0.043924998,0.063615002,0.064577498,0.25553751,0.226552501,0.128625005,0.596535623,0.349268109,0.363438457,0.340027988,0.123204172
0,0.02774125,0.037325002,0.038342498,0.120677501,0.081380002,0.05089625,0.517765105,0.187403277,0.18013683,0.153464839,0.049992584
0,0.097907498,0.126149997,0.140395001,0.209914997,0.206890002,0.185687497,0.198452786,0.122637622,0.131868586,0.381281793,0.012071907
0,0.064082503,0.082672499,0.101125002,0.202875003,0.226552501,0.157004997,0.334703952,0.189832091,0.19140242,0.341886133,0.053945474
0,0.094772503,0.122327499,0.138469994,0.189537495,0.208347499,0.191792503,0.155690044,0.092512749,0.097489536,0.368639827,-0.000480786
0,0.022502501,0.03656875,0.036169998,0.155231237,0.103668749,0.059063748,0.622050524,0.258304209,0.247326493,0.182256103,0.079072617
0,0.062267501,0.076622501,0.095459998,0.195972502,0.196302503,0.151587501,0.344891191,0.190501094,0.193036944,0.317377657,0.051453345
0,0.061332498,0.089781255,0.113266252,0.27096498,0.271473765,0.17280376,0.410426617,0.267518371,0.26449421,0.410055131,0.100498743
0,0.053165,0.065099999,0.077172503,0.213599995,0.163385004,0.1048925,0.469189793,0.2587865,0.266898334,0.2887052,0.08282309
0,0.068661243,0.094222501,0.115768746,0.249171257,0.264062494,0.18274501,0.365546405,0.231349885,0.233413056,0.401445448,0.07652352
10,0.044695001,0.066969998,0.0630375,0.210272506,0.138359994,0.086852498,0.538710654,0.285593748,0.293698162,0.262980402,0.089732692
0,0.055969998,0.079345003,0.083497502,0.260129988,0.187282503,0.112042502,0.514023125,0.3140589,0.329209,0.335398912,0.110450342
0,0.074312501,0.09957125,0.112963751,0.242145002,0.194844991,0.14868626,0.363779396,0.226604953,0.237015247,0.35932222,0.06817513
0,0.046922501,0.075274996,0.079784997,0.317494988,0.247452497,0.135499999,0.59834373,0.397384316,0.411466211,0.395830303,0.159798324
0,0.052257501,0.082452498,0.099695005,0.252815008,0.234321237,0.15634501,0.434370637,0.269416183,0.262361825,0.367498398,0.097777292
0,0.015957501,0.0284975,0.02451,0.168665007,0.092297502,0.041065,0.746240437,0.311945051,0.301316321,0.171727091,0.09993127
4,0.041450001,0.081462502,0.083525002,0.275502503,0.197897494,0.099639997,0.534715295,0.335223556,0.327432871,0.340781331,0.132078394
7,0.03332375,0.055255003,0.056712501,0.213407487,0.176200002,0.105401248,0.58009398,0.305202425,0.300468773,0.276830941,0.102678515
5,0.073239997,0.090757497,0.080334999,0.249459997,0.200289994,0.116415001,0.512818575,0.305723101,0.357657939,0.347282946,0.091761418
19,0.028085001,0.052999999,0.0477475,0.284082502,0.188327506,0.088035002,0.712217093,0.426171809,0.434461713,0.313393563,0.163963169
0,0.037297498,0.058334999,0.056987502,0.251027495,0.187887505,0.106982499,0.629969299,0.360216081,0.369396985,0.306904405,0.127635375
9,0.048118748,0.07632,0.080623746,0.241292506,0.215552509,0.139624998,0.499101102,0.293221056,0.294449687,0.338942111,0.100039162
0,0.103710003,0.130137503,0.151284993,0.246105,0.244757503,0.199987501,0.23860693,0.158492982,0.17227599,0.430575401,0.031664528
0,0.047665,0.072621249,0.084817499,0.200097501,0.209585011,0.167510003,0.404611915,0.220304117,0.213242188,0.318122357,0.064633965
7,0.030257501,0.051899999,0.042275,0.194020003,0.150955006,0.085422501,0.642184556,0.309139013,0.3107647,0.242675439,0.096707314
0,0.052216247,0.080183752,0.098856255,0.241925001,0.250312507,0.175870001,0.419825733,0.255242497,0.247791171,0.37227264,0.088532172
0,0.052889999,0.079867497,0.08061,0.292992502,0.204607502,0.121172503,0.568471849,0.3646667,0.384757191,0.362066269,0.136433989
0,0.02782375,0.0564925,0.046221249,0.292923748,0.161817491,0.07852,0.72742486,0.440989047,0.452973276,0.303474396,0.169579014
0,0.081545003,0.11163,0.123482503,0.246215001,0.198392496,0.148699999,0.331980854,0.211681351,0.223065227,0.373393655,0.061554909
5,0.0442275,0.068839997,0.075962499,0.228477493,0.192369998,0.1070375,0.500968993,0.284387261,0.281903476,0.308582127,0.099939853
0,0.032375,0.058665,0.040514998,0.175485,0.128542498,0.05982,0.624861121,0.282758385,0.286983997,0.218523145,0.083711103
9,0.027095001,0.038218752,0.035097498,0.170438752,0.113252506,0.065925002,0.658478737,0.287741244,0.287272811,0.199211568,0.087064624
0,0.069004998,0.091499999,0.127112493,0.208649993,0.210409999,0.199794993,0.242842793,0.146340922,0.14021565,0.357572287,0.036843527
12,0.027425,0.051185001,0.051652499,0.258920014,0.178042501,0.09843,0.667372346,0.383557618,0.380126715,0.296416044,0.142691523
0,0.068592504,0.094332501,0.085917503,0.284577489,0.180517495,0.097742498,0.536201537,0.342322439,0.386306018,0.35385859,0.118963145
3,0.049095001,0.069940001,0.070215002,0.214864999,0.190775007,0.128075004,0.507401407,0.276373088,0.285206139,0.304958642,0.084882654
0,0.072346255,0.10380625,0.132791251,0.218495011,0.219388753,0.1776025,0.243971288,0.151013404,0.145492852,0.370245785,0.042292949
5,0.059503749,0.083786249,0.091169998,0.301118731,0.233221263,0.144038752,0.535189331,0.352938563,0.374410868,0.392844737,0.133050501
0,0.056162499,0.089189999,0.10052,0.258590013,0.238487497,0.156619996,0.44017157,0.275989115,0.274333507,0.376876742,0.098262303
5,0.037379999,0.070050001,0.063642502,0.234802499,0.206119999,0.115479998,0.573505998,0.321550012,0.320210725,0.314023823,0.111092806
0,0.043017499,0.069004998,0.074340001,0.226304993,0.173559994,0.102499999,0.505463243,0.284704834,0.281476349,0.295943618,0.098682687
0,0.088529997,0.111299999,0.131815001,0.1864025,0.188767493,0.174604997,0.171541467,0.100072719,0.103911459,0.345674425,0.006671532
3,0.050827499,0.073377497,0.078024998,0.276959985,0.207495004,0.125077501,0.560403943,0.349014878,0.36464265,0.351731062,0.127798975
0,0.083250001,0.1051125,0.113279998,0.156482503,0.179499999,0.171222493,0.160150155,0.084186688,0.089129709,0.313762665,-0.00551351
0,0.0739825,0.109883755,0.14463,0.249377504,0.279599994,0.216954991,0.265851557,0.175749376,0.167618662,0.431493342,0.056894422
0,0.079427503,0.1051125,0.103710003,0.200014994,0.165144995,0.137562498,0.317079574,0.17973496,0.196289435,0.319790065,0.035673495
0,0.061387502,0.080142498,0.100960001,0.215635002,0.274650007,0.188437507,0.362213552,0.210646033,0.210646495,0.377276629,0.063697927
