"point_id","cell_id","x","y","cover_class","canopy_cover","blue","green","red","nir","swir1","swir2","ndvi","savi","evi","Brightness","Greenness","spatial_fold"
1367,543963,-99.2641533055566,19.3266694328968,2,21.9844379425049,0.0486274994909763,0.0742575004696846,0.0738449990749359,0.218604996800423,0.165694996714592,0.112125001847744,0.494990587234497,0.274010986089706,0.279035240411758,0.0865248143672943,0.293416857719421,3
1368,2393444,-99.0013960849516,19.1102652809524,2,24.6072883605957,0.0240975003689528,0.0435950011014938,0.0385349988937378,0.194322496652603,0.116387501358986,0.0639450028538704,0.669025063514709,0.318863153457642,0.312876254320145,0.10432468354702,0.214898809790611,5
1369,1029574,-99.2940672045178,19.2698060754121,2,35.9008674621582,0.0374624989926815,0.0597649998962879,0.0570424981415272,0.235434994101524,0.193992495536804,0.11982499808073,0.609935820102692,0.337660998106003,0.343929916620255,0.114089339971542,0.304185450077057,4
1370,2982008,-99.202978034708,19.0412746671321,2,37.2596321105957,0.0320449993014336,0.058032501488924,0.0459325015544891,0.253887504339218,0.199630007147789,0.0972475036978722,0.693599462509155,0.390003383159637,0.403280854225159,0.138522937893867,0.306722462177277,3
1371,1774492,-98.9243206335742,19.1827593243809,2,38.6699142456055,0.0510749965906143,0.0701462477445602,0.0866324976086617,0.182126253843307,0.208869993686676,0.149525001645088,0.355314046144485,0.186327159404755,0.181015893816948,0.0530267097055912,0.305848747491837,4
1372,3235820,-99.0434372402484,19.0116302627561,2,27.9850082397461,0.0364174991846085,0.0547050014138222,0.0627762526273727,0.191297501325607,0.168417498469353,0.101661249995232,0.505842268466949,0.255653858184814,0.248144283890724,0.0834089294075966,0.26298600435257,1
1373,3472523,-99.1520435580985,18.9838723204768,2,37.1732139587402,0.0318799987435341,0.0522575005888939,0.0464549995958805,0.266234993934631,0.159975007176399,0.0799499973654747,0.702868640422821,0.405652821063995,0.420755565166473,0.148595854640007,0.288710802793503,2
1374,1884562,-99.0391253268846,19.1698235842896,2,38.9447593688965,0.0439662486314774,0.0637800022959709,0.0693899989128113,0.22418749332428,0.17314749956131,0.105360001325607,0.527279853820801,0.292594283819199,0.295239120721817,0.0987658351659775,0.292571544647217,1
1375,2054587,-99.1261720779158,19.1498809849821,2,36.8456268310547,0.0329249985516071,0.0509787499904633,0.0441999994218349,0.232176244258881,0.155272498726845,0.0888324975967407,0.680146157741547,0.363180041313171,0.375820577144623,0.122318781912327,0.268407642841339,1
1376,2013165,-99.1223991537225,19.1547318875163,2,38.0424995422363,0.0326362475752831,0.0583349987864494,0.0493287518620491,0.238267496228218,0.174316257238388,0.100354999303818,0.656958281993866,0.359839349985123,0.366311371326447,0.123161345720291,0.287109524011612,1
1377,3525803,-99.0620323666297,18.9776739450164,2,30.7368965148926,0.0326225012540817,0.0593524985015392,0.0505524985492229,0.212280005216599,0.178482502698898,0.0954599976539612,0.615325391292572,0.318013787269592,0.3181292116642,0.104980863630772,0.274450182914734,5
1378,852465,-99.2549904896586,19.2905571584752,2,30.2389106750488,0.0278925001621246,0.0506899990141392,0.0389475002884865,0.300554990768433,0.155575007200241,0.0776949971914291,0.770561337471008,0.467433094978333,0.493581801652908,0.178177550435066,0.300613254308701,2
1379,2078446,-98.9000661209029,19.1471860391297,2,39.1677894592285,0.0405424982309341,0.0593799985945225,0.0482424981892109,0.190637499094009,0.195724993944168,0.100602500140667,0.596094310283661,0.289076030254364,0.302704334259033,0.0861737951636314,0.275146126747131,1
1380,2094592,-98.8914422941754,19.1452995770331,2,36.1945190429688,0.0511437505483627,0.0674099996685982,0.0822049975395203,0.175870001316071,0.206271260976791,0.140023753046989,0.362937152385712,0.185334578156471,0.182153657078743,0.0518770925700665,0.297187626361847,1
1381,1401023,-99.0711951825277,19.2264174471891,2,22.484956741333,0.0391950011253357,0.0575649999082088,0.0535225011408329,0.20609250664711,0.163770005106926,0.0720850005745888,0.587677896022797,0.301277637481689,0.309280663728714,0.0994874909520149,0.262682884931564,2
1382,1886854,-99.041820272737,19.1695540897043,2,30.7506370544434,0.038782499730587,0.0592150017619133,0.0518449991941452,0.211097493767738,0.147489994764328,0.0872649997472763,0.605655252933502,0.313101887702942,0.323342531919479,0.0993129014968872,0.259788453578949,1
1383,3093558,-98.9189307418694,19.0283389270407,2,20.7383213043213,0.0346575006842613,0.0619374997913837,0.0507449992001057,0.268049985170364,0.166024997830391,0.0872924998402596,0.681644916534424,0.398094117641449,0.413886278867722,0.144008278846741,0.299490869045258,1
1384,504760,-99.2827484319378,19.3312508408458,2,38.1932334899902,0.0278650000691414,0.0549799986183643,0.0443374998867512,0.282460004091263,0.176612496376038,0.0858900025486946,0.728654623031616,0.432008743286133,0.444425076246262,0.162798672914505,0.305547267198563,1
1385,3410749,-99.0496356157088,18.9911486742782,2,39.7966995239258,0.0418625026941299,0.0561762526631355,0.0519962534308434,0.229412496089935,0.149717509746552,0.0837312489748001,0.63045746088028,0.340569972991943,0.361359715461731,0.112424209713936,0.271149128675461,4
1386,1015239,-99.4350128725961,19.2714230429235,2,25.2660312652588,0.032209999859333,0.0514325015246868,0.0552549995481968,0.228725001215935,0.149635002017021,0.0824524983763695,0.610852897167206,0.331902593374252,0.328870534896851,0.11762361228466,0.265571564435959,1
1387,3580851,-99.1159312836769,18.9712060749707,2,38.2845878601074,0.0523125007748604,0.069692499935627,0.0868524983525276,0.187007501721382,0.15846249461174,0.108027502894402,0.365716069936752,0.194133952260017,0.190296053886414,0.0591726414859295,0.275753885507584,4
1388,2139081,-99.3094283958762,19.1399096853284,2,24.0325469970703,0.0297762490808964,0.0508550032973289,0.0460425019264221,0.240288749337196,0.151780009269714,0.082177497446537,0.678396940231323,0.370542794466019,0.375508338212967,0.130316242575645,0.268955320119858,2
1389,565159,-99.1353348938138,19.3242439816297,2,27.6537189483643,0.0723050013184547,0.0851199999451637,0.0892999991774559,0.159342497587204,0.123235002160072,0.101070001721382,0.281699627637863,0.140339016914368,0.151889219880104,0.0221065524965525,0.255638837814331,2
1390,1724714,-99.3113148579728,19.1884187106708,2,35.0194549560547,0.0333237498998642,0.0518862493336201,0.0535362511873245,0.18945500254631,0.15539625287056,0.0969450026750565,0.559356570243835,0.274401783943176,0.269520848989487,0.0868292301893234,0.249400094151497,3
1391,3688140,-99.3598238833153,18.9585398294646,2,28.711986541748,0.029322499409318,0.0530549995601177,0.0430999994277954,0.299234986305237,0.200454995036125,0.0956524983048439,0.748199880123138,0.456116020679474,0.478608042001724,0.175223186612129,0.328629434108734,5
1392,1857137,-98.9854959044227,19.1730575193124,2,29.7678108215332,0.032430000603199,0.0520374998450279,0.0394974984228611,0.221300005912781,0.155272498726845,0.0676025003194809,0.697102189064026,0.358444601297379,0.374060750007629,0.119613066315651,0.257010906934738,3
1393,3721370,-99.089790308909,18.9547669052713,2,37,0.0314950011670589,0.0555575005710125,0.0479400008916855,0.244977504014969,0.169792503118515,0.0876225009560585,0.67267233133316,0.372745275497437,0.379969030618668,0.131625473499298,0.284447222948074,2
1394,3580513,-99.2070204534866,18.9712060749707,2,20.4967384338379,0.0561762526631355,0.0815037488937378,0.0974537506699562,0.241278737783432,0.195780009031296,0.139844998717308,0.424597561359406,0.257218450307846,0.255974769592285,0.0878932103514671,0.33930778503418,2
1395,2029439,-99.0792800200848,19.1528454254197,2,34.5645713806152,0.0355374999344349,0.0533025003969669,0.0538800023496151,0.223403751850128,0.157554998993874,0.0842124968767166,0.611372828483582,0.3271464407444,0.331061631441116,0.112245336174965,0.268635421991348,5
1396,3187539,-99.026998070549,19.0172896490461,2,31.4419231414795,0.0410925000905991,0.0626799985766411,0.0707100033760071,0.219361245632172,0.207838743925095,0.125366255640984,0.512464582920074,0.282223731279373,0.278283983469009,0.0960372090339661,0.309963971376419,1
1397,3516722,-99.0278065543047,18.9787519233573,2,26.4190864562988,0.0344099998474121,0.0536875016987324,0.0532750003039837,0.24439999461174,0.202050000429153,0.113417498767376,0.64205926656723,0.359403878450394,0.365866482257843,0.126625061035156,0.307804077863693,3
1398,1780422,-99.1873473487644,19.1819508406252,2,23.7610893249512,0.0457125008106232,0.0661587491631508,0.0831950008869171,0.18418875336647,0.191434994339943,0.161308735609055,0.37771087884903,0.197411820292473,0.188348785042763,0.0557999722659588,0.295634388923645,1
1399,334673,-99.2124103451913,19.3511934401533,2,22.7790393829346,0.0674649998545647,0.0841299965977669,0.0909499973058701,0.1606625020504,0.134757503867149,0.109044998884201,0.277062952518463,0.139125883579254,0.145189017057419,0.0249971933662891,0.261646538972855,1
1400,3649927,-99.1116193703131,18.9631212374137,2,38.0033149719238,0.0315775014460087,0.0491775013506413,0.0401850007474422,0.282047510147095,0.164787501096725,0.07464250177145,0.750583827495575,0.441230148077011,0.470064461231232,0.164108574390411,0.296091109514236,4
1401,1600330,-99.3317964464508,19.2029714182736,2,20.9820499420166,0.017442500218749,0.0248399991542101,0.0267374999821186,0.134839996695518,0.0819574967026711,0.0383974984288216,0.669044256210327,0.245101660490036,0.232089921832085,0.0744923651218414,0.147443354129791,4
1402,1732926,-98.9593549296548,19.1876102269151,2,27.5079727172852,0.0517349988222122,0.0678912475705147,0.0792762488126755,0.181562513113022,0.182359993457794,0.116195000708103,0.39214363694191,0.201658234000206,0.201476633548737,0.058676328510046,0.283301264047623,2
1403,1371021,-99.0916767710056,19.2299208767972,2,24.2096138000488,0.0473212487995625,0.0605487525463104,0.0710812509059906,0.167317509651184,0.148301243782043,0.100905001163483,0.403677672147751,0.195496514439583,0.194197669625282,0.0547710843384266,0.248555228114128,4
1404,2168586,-99.4228856162605,19.1364062557203,2,23.2325134277344,0.0373249985277653,0.0592974983155727,0.0582249984145164,0.242667496204376,0.161377504467964,0.0820949971675873,0.612984716892242,0.345444291830063,0.351431488990784,0.123231388628483,0.284784108400345,5
1405,3442832,-99.088712330568,18.9873757500849,2,35.3980293273926,0.0569600015878677,0.0710812509059906,0.0829199999570847,0.206779986619949,0.148479998111725,0.0959549993276596,0.427545696496964,0.235266536474228,0.242463365197182,0.0730838105082512,0.280872493982315,1
1406,3175595,-99.1439587205414,19.0186371219722,2,20.3323345184326,0.053082499653101,0.0680837482213974,0.0826175063848495,0.116305001080036,0.126713752746582,0.109058752655983,0.169349834322929,0.0722987726330757,0.0693791434168816,0.00628958689048886,0.218953669071198,3
1407,3630509,-99.3816529447194,18.9652771940955,2,31.4902801513672,0.0318524986505508,0.0468812510371208,0.0504700019955635,0.189950004220009,0.160277500748634,0.0918712466955185,0.580151379108429,0.282569348812103,0.278097629547119,0.0914028137922287,0.248185023665428,2
1408,1423813,-99.1331789371319,19.2237225013367,2,37.2389106750488,0.036472499370575,0.0598475001752377,0.0449699983000755,0.185220003128052,0.169572502374649,0.0787125006318092,0.609279334545135,0.288109958171844,0.29676353931427,0.087023913860321,0.251957952976227,5
1409,1657571,-99.4150702732887,19.1962340536427,2,21.4540596008301,0.0346850007772446,0.0535500012338161,0.0588850006461143,0.214259997010231,0.134702503681183,0.082507498562336,0.56883704662323,0.301447331905365,0.297099471092224,0.102987535297871,0.252782166004181,3
1410,2054600,-99.1226686483078,19.1498809849821,2,38.6685562133789,0.03549624979496,0.0584862530231476,0.057523749768734,0.225177496671677,0.172913759946823,0.105153754353523,0.593042135238647,0.321298360824585,0.321397870779037,0.108773216605186,0.283867597579956,1
1411,3601888,-99.0299625109866,18.9687806237036,2,37.1718597412109,0.0341624990105629,0.0580875016748905,0.0482424981892109,0.306082487106323,0.187172502279282,0.0901525020599365,0.727693498134613,0.452708274126053,0.481289446353912,0.174736082553864,0.329941898584366,3
1412,144855,-98.8760811028169,19.3735614907279,2,23.3863182067871,0.0495074987411499,0.0633950009942055,0.0626524984836578,0.165914997458458,0.169737502932549,0.0929574966430664,0.451781213283539,0.212600409984589,0.220547631382942,0.0575054436922073,0.256457298994064,3
1413,3506300,-99.3549729807811,18.9798299016983,2,31,0.036362498998642,0.0599575005471706,0.0602325014770031,0.297832489013672,0.192067503929138,0.0974399968981743,0.663566648960114,0.415353119373322,0.428414136171341,0.162794023752213,0.334386706352234,3
1414,3063739,-98.8900948212492,19.0318423566488,2,24.9730453491211,0.0444475002586842,0.073074996471405,0.0657050013542175,0.298409998416901,0.191957503557205,0.102995000779629,0.639097511768341,0.403947979211807,0.427991926670074,0.153055489063263,0.344848662614822,1
1415,1162556,-99.4379773130337,19.2541753894684,2,38.547908782959,0.0364174991846085,0.056767500936985,0.073514997959137,0.235242500901222,0.180050000548363,0.116332501173019,0.523801028728485,0.299955487251282,0.28814023733139,0.110013984143734,0.300011575222015,2
